_RAJ2000,_DEJ2000,recno,PSO,zP1mag,yP1mag,WISE,W1mag,W2mag,l_W3mag,W3mag,Nobs,Mm,SpT,AName,f_AName,l_Jmag,Jmag,l_Hmag,Hmag,l_Kmag,Kmag,Jmag2,f_Jmag2,Hmag2,f_Hmag2,Kmag2,f_Kmag2,Ref,2M,_RA,_DE
239.7015417,-23.2664167,84,J239.7016-23.2664,19.28,18.28,J155848.37-231559.1,14.44,13.86,>,12.38,0,0,,J239.7-23,,,16.3,,15.35,,15.0,16.25,,15.54,,15.02,e,1,2M,239.70154,-23.26642
241.1374583,39.0369167,85,J241.1376+39.0369,20.91,19.74,J160432.99+390212.9,16.11,15.15,>,12.99,1,0,*,J241.1+39,,,,,,,,17.71,,17.13,e,16.71,,1,2M,241.13746,39.03692
242.9129583,2.4855833,86,J242.9129+02.4856,20.61,19.52,J161139.11+022908.1,15.48,14.57,>,12.12,1,0,*,J242.9+02,,,,,,,,17.11,,16.4,,16.07,e,1,2M,242.91296,2.48558
244.1180833,6.3597778,87,J244.1180+06.3598,20.93,19.77,J161628.34+062135.2,14.78,14.09,>,12.36,1,0,*,J244.1+06,,,,,,,,17.51,,16.35,,15.54,e,1,2M,244.11808,6.35978
244.6800833,8.7185833,88,J244.6801+08.7185,21.14,19.56,J161843.22+084306.9,16.53,14.9,>,12.53,1,0,*,J244.6+08,,,,,,,,16.84,,16.8,,16.8,e,1,2M,244.68008,8.71858
249.4774167,-10.8754444,89,J249.4774-10.8754,18.64,18.25,J163754.58-105231.6,13.81,13.39,,10.91,1,0,,J249.4-10,,,16.43,>,14.74,>,14.16,16.53,,15.69,,14.9,e,1,2M,249.47742,-10.87544
255.6623333,10.7542222,90,J255.6623+10.7542,20.57,19.96,J170238.96+104515.2,14.64,13.57,,11.13,1,0,,J255.6+10,,,,,,,,18.34,,17.27,,16.2,e,1,2M,255.66233,10.75422
258.2413333,6.7611944,91,J258.2413+06.7612,19.73,18.5,J171257.92+064540.3,13.88,13.39,>,12.04,1,0,*,J258.2+06,,,16.16,,15.34,,14.78,16.03,,15.42,,14.76,,1,2M,258.24133,6.76119
260.1624583,61.7635833,92,J260.1623+61.7636,21.1,19.66,J172038.99+614548.9,16.23,15.31,>,14.07,1,0,*,J260.1+61,,,,,,,,,,,,,,,2M,260.16246,61.76358
260.33625,46.6739167,93,J260.3363+46.6739,19.99,18.79,J172120.70+464026.1,14.45,13.94,,12.72,1,0,*,J260.3+46,,,16.86,,15.83,,15.23,16.79,,15.84,,15.24,e,1,2M,260.33625,46.67392
261.2881667,22.9268889,94,J261.2881+22.9269,21.42,19.64,J172509.16+225536.8,16.57,15.11,>,12.64,1,0,*,J261.2+22,,,,,,,,16.83,,16.89,,16.86,e,1,2M,261.28817,22.92689
263.5875833,50.3971944,95,J263.5879+50.3975,20.59,18.89,J173421.02+502349.9,15.41,14.34,>,13.48,1,0,*,J263.5+50,,,16.34,,15.85,>,15.37,16.15,d,15.9,d,15.82,"d,c",1,2M,263.58758,50.39719
265.075875,11.4854167,96,J265.0759+11.4855,20.82,19.73,J174018.21+112907.5,15.57,14.96,>,12.84,1,0,*,J265.0+11,,,,,,,,17.48,,16.59,,16.38,e,1,2M,265.07587,11.48542
268.7928333,18.0556111,97,J268.7928+18.0557,19.68,18.15,J175510.28+180320.2,14.6,13.73,,12.36,1,0,*,J268.7+18,,,16.02,,15.22,,14.68,15.82,,15.32,,15.24,,1,2M,268.79283,18.05561
272.0887083,-4.9944722,98,J272.0887-04.9943,20.87,19.51,J180821.29-045940.1,14.99,14.15,,12.37,1,0,*,J272.0-04,,,,,,,,16.9,,16.28,e,15.74,e,1,2M,272.08871,-4.99447
272.468875,-4.8034722,99,J272.4689-04.8036,18.79,17.46,J180952.53-044812.5,13.29,12.73,,12.38,1,1,*,J272.4-04,,,15.14,,14.28,,13.96,15.15,,14.49,e,13.98,,1,2M,272.46887,-4.80347
274.0910833,30.5469167,100,J274.0908+30.5470,21.12,19.79,J181621.86+303248.9,16.55,15.01,>,13.04,1,0,*,J274.0+30,,,,,,,,17.53,,16.93,,17.33,e,1,2M,274.09108,30.54692
276.0670833,-1.9863333,101,J276.0671-01.9863,20.5,19.77,J182416.10-015910.8,14.2,13.37,>,11.85,1,0,,J276.0-01,,>,16.39,>,15.84,,15.03,17.6,,16.21,,15.48,e,1,2M,276.06708,-1.98633
276.8233333,22.4380278,102,J276.8234+22.4380,19.91,18.86,J182717.60+222616.9,14.01,13.43,>,12.09,1,0,*,J276.8+22,,,16.91,,15.58,,14.87,16.48,,15.62,,14.82,e,1,2M,276.82333,22.43803
277.744,45.7159444,103,J277.7441+45.7160,20.55,19.34,J183058.56+454257.4,14.81,14.17,>,13.17,1,0,*,J277.7+45,,,,,,,,17.22,,16.23,,15.55,e,1,2M,277.744,45.71594
280.2973333,63.2598889,104,J280.2973+63.2600,19.66,18.56,J184111.36+631535.6,14.13,13.49,,12.39,1,0,*,J280.2+63,,,16.13,,15.34,,14.83,16.02,d,15.43,d,14.82,d,1,2M,280.29733,63.25989
282.5876667,34.7693611,105,J282.5878+34.7691,20.14,19.32,J185021.04+344609.7,15.13,14.73,>,13.12,1,0,*,J282.5+34,,,17.25,,16.26,,15.4,17.1,,16.28,,15.68,e,1,2M,282.58767,34.76936
282.757625,59.5857222,106,J282.7576+59.5858,18.35,17.15,J185101.83+593508.6,12.65,12.18,,11.23,1,0,*,J282.7+59,,,14.94,,13.97,,13.46,14.85,,14.03,,13.4,e,1,2M,282.75762,59.58572
284.7211667,39.3188889,107,J284.7214+39.3189,21.45,19.9,J185853.08+391908.0,16.59,15.4,>,13.24,1,0,*,J284.7+39,,,,,,,,17.41,,17.17,,17.03,e,1,2M,284.72117,39.31889
289.81475,30.7662222,108,J289.8149+30.7664,19.1,17.74,J191915.54+304558.4,13.39,12.94,,11.72,1,0,*,J289.8+30,,,15.57,,14.6,,13.95,15.52,,14.56,,13.95,e,1,2M,289.81475,30.76622
291.2689167,68.5310278,109,J291.2688+68.5310,20.16,18.65,J192504.54+683151.7,15.1,14.45,,13.65,1,0,*,J291.2+68,,,16.61,,16.11,,15.49,16.52,d,16.19,d,15.52,d,1,2M,291.26892,68.53103
296.0820417,35.7034722,110,J296.0820+35.7035,19.74,19.07,J194419.69+354212.5,14.67,14.24,,12.01,1,0,,J296.0+35,,,16.42,,15.88,,15.2,16.47,,15.94,,15.76,e,1,2M,296.08204,35.70347
303.7098333,31.9333889,111,J303.7105+31.9331,20.12,19.68,J201450.36+315600.2,13.49,11.41,,10.46,1,0,,J303.7+31,,,16.07,,15.22,,15.24,16.06,d,15.28,d,15.24,d,1,2M,303.70983,31.93339
304.75725,-7.2348056,112,J304.7573-07.2350,19.59,18.7,J201901.74-071405.3,15.4,14.81,>,12.54,1,0,*,J304.7-07,,,16.81,,15.97,,15.37,16.77,,16.24,,15.7,e,1,2M,304.75725,-7.23481
307.6782917,7.8263056,113,J307.6784+07.8263,17.99,16.46,J203042.79+074934.7,12.96,12.12,,10.96,1,0,*,J307.6+07,,,14.23,,13.44,,13.32,14.05,,13.48,,13.37,e,1,2M,307.67829,7.82631
308.9834167,-9.7311944,114,J308.9834-09.7312,20.94,19.76,J203556.02-094352.3,15.94,14.82,>,12.35,1,0,*,J308.9-09,,,,,,,,17.67,,16.86,,16.33,e,1,2M,308.98342,-9.73119
