# Name,redshift,ra,dec,OBJ_TYPE
PSO~J207.7780--21.1889,5.81,207.7780047,-21.18896442,HIGH_Z_QUASAR
PSO~J209.2058--26.7083,5.72,209.205856,-26.708397,HIGH_Z_QUASAR
PSO209.38256-08.71714,5.88,209.382561,-8.717147117,HIGH_Z_QUASAR
HSC~J1400--0011,6.04,210.1199583,-0.197638889,HIGH_Z_QUASAR
HSC~J1400--0125,6.04,210.1249583,-1.4225,HIGH_Z_QUASAR
PSO~J210.4472+27.8263,6.14,210.4472436,27.8263932,HIGH_Z_QUASAR
PSO~J210.7277+40.4008,6.04,210.7277296,40.40088814,HIGH_Z_QUASAR
PSO~J210.8297+09.0474,5.88,210.8297035,9.047498139,HIGH_Z_QUASAR
PSO~J210.8722--12.0094,5.84,210.87222,-12.009482,HIGH_Z_QUASAR
HSC~J1406--0116,6.33,211.6213333,-1.269777778,HIGH_Z_QUASAR
HSC~J1406--0144,6.1,211.6953333,-1.734055556,HIGH_Z_QUASAR
PSO~J212.2974--15.9865,5.83,212.2974337,-15.98657168,HIGH_Z_QUASAR
SDSS~J1411+1217,5.904,212.79704,12.293722,HIGH_Z_QUASAR
PSO~J213.3629--22.5617,5.92,213.36299,-22.561737,HIGH_Z_QUASAR
HSC~J1414+0130,5.94,213.66475,1.510138889,HIGH_Z_QUASAR
PSO~J213.7329--13.4803,5.78,213.7329225,-13.48035431,HIGH_Z_QUASAR
HSC~J1416+0015,6.03,214.0529583,0.262833333,HIGH_Z_QUASAR
HSC~J1416+0147,6.07,214.220875,1.783944444,HIGH_Z_QUASAR
HSC~J1417+0117,6.02,214.3694583,1.286777778,HIGH_Z_QUASAR
PSO~J215.1514--16.0417,5.78,215.15143,-16.041735,HIGH_Z_QUASAR
PSO~J215.4303+26.5325,6.27,215.4303676,26.53253359,HIGH_Z_QUASAR
HSC~J1422+0011,5.89,215.5009583,0.184166667,HIGH_Z_QUASAR
J1423--0225,5.9,215.7800417,-2.421944444,HIGH_Z_QUASAR
HSC~J1423--0018,6.13,215.882125,-0.302527778,HIGH_Z_QUASAR
NDWFS~J1425+3254,5.8918,216.31792,32.9025,HIGH_Z_QUASAR
HSC~J1425--0015,6.18,216.3238333,-0.261361111,HIGH_Z_QUASAR
J1426--0128,6.01,216.5472083,-1.473,HIGH_Z_QUASAR
NDWFS~J1427+3522 ,5.53,216.87375,35.36916667,HIGH_Z_QUASAR
FIRST~J1427+3312,6.121,216.91079,33.211666,HIGH_Z_QUASAR
PSO~J217.0891--16.0453,6.1498,217.0891328,-16.04536083,HIGH_Z_QUASAR
HSC~J1429--0104,6.8,217.2628333,-1.078722222,HIGH_Z_QUASAR
HSC~J1429--0002,6.04,217.33425,-0.035388889,HIGH_Z_QUASAR
CFHQS~J1429+5447,6.1831,217.46737,54.788249,HIGH_Z_QUASAR
PSO~J217.9185--07.4120,6.14,217.9185333,-7.412074447,HIGH_Z_QUASAR
PSOJ218.3967+28.3306,5.9,218.3967494,28.33067816,HIGH_Z_QUASAR
SDSS~J1436+5007,5.85,219.04891,50.118583,HIGH_Z_QUASAR
HSC~J1440--0107,6.13,220.0054167,-1.117277778,HIGH_Z_QUASAR
J1448+4333,6.14,222.0972083,43.55163889,HIGH_Z_QUASAR
J150036.84+281603.03,5.55,225.1534902,28.2675099,HIGH_Z_QUASAR
J1503+2307,6.4,225.782425,23.12078333,HIGH_Z_QUASAR
CFHQS~J1509--1749,6.1225,227.42408,-17.824111,HIGH_Z_QUASAR
J1512+4422,6.19,228.2029583,44.37152778,HIGH_Z_QUASAR
J151339.64+085406.5,5.47,228.4151875,8.901829311,HIGH_Z_QUASAR
PSO~J228.6871+21.2388,5.92,228.6871241,21.23884336,HIGH_Z_QUASAR
PSO228.70293+01.38118,5.74,228.7029383,1.381180641,HIGH_Z_QUASAR
J1516+4228,6.13,229.241125,42.48136111,HIGH_Z_QUASAR
PSO~J230.8777+29.5943,5.73,230.8777384,29.5943535,HIGH_Z_QUASAR
J1525+4303,6.27,231.4824583,43.05666667,HIGH_Z_QUASAR
PSO~J231.6576--20.8335,6.5869,231.6576584,-20.83351717,HIGH_Z_QUASAR
J152712.86+064121.9,5.57,231.8035833,6.689418073,HIGH_Z_QUASAR
TGSS~J1530+1049,5.72,232.7079167,10.82530556,HIGH_Z_QUASAR
DELS~J153532.87+194320.1,6.37,233.8869583,19.72225,HIGH_Z_QUASAR
PSO~J235.9450+17.0079,5.82,235.9450836,17.00792885,HIGH_Z_QUASAR
HSC~J1545+4232,6.5,236.2734167,42.53655556,HIGH_Z_QUASAR
PSO~J236.2912+16.6088,5.82,236.2912474,16.60887251,HIGH_Z_QUASAR
SDSS~J1545+6028,5.78,236.467013,60.473332,HIGH_Z_QUASAR
DELS~J154825.4+005015.5,6.15,237.1058333,0.83763889,HIGH_Z_QUASAR
HSC~J1550+4318,5.84,237.503875,43.30077778,HIGH_Z_QUASAR
PSO~J238.8510--06.8976,5.81,238.8510335,-6.897662891,HIGH_Z_QUASAR
