,RA,Dec,W1-W2
J015158.49+280838.4,27.993708333333334,28.144,-0.4790000000000004
J015209.72+340034.1,28.040499999999994,34.00947222222222,-0.2750000000000016
J015421.12+280414.9,28.587999999999994,28.070805555555555,-0.3499999999999991
J015748.95+280854.5,29.45395833333333,28.14847222222222,-0.38499999999999923
J015908.24+280457.8,29.78433333333333,28.082722222222223,-0.5980000000000002
J020215.77+102011.1,30.56570833333333,10.336416666666667,-0.42999999999999916
J021816.35-274049.1,34.568124999999995,-27.680305555555556,-0.4209999999999988
J022537.02+240833.8,36.40424999999999,24.142722222222222,-0.4390000000000013
J024840.95-165124.8,42.170624999999994,-16.85688888888889,-0.4370000000000006
J025226.18+005621.5,43.10908333333333,0.9393055555555556,-0.37000000000000044
J031547.91+280600.1,48.94962499999999,28.10002777777778,-0.44499999999999973
J032059.95+185420.3,50.24979166666667,18.905638888888888,-0.4260000000000014
J032527.98+280636.0,51.366583333333324,28.110000000000003,-0.499
J032744.93+280146.3,51.93720833333333,28.029527777777776,-0.4159999999999998
J033935.48-352541.0,54.89783333333333,-35.42805555555555,-0.2949999999999994
J065038.51+280347.1,102.66045833333332,28.063083333333335,-0.5210000000000002
